name_en,name_jp,location,address,lat,lng,opening_hours_Monday,opening_hours_Tuesday,opening_hours_Wednesday,opening_hours_Thursday,opening_hours_Friday,opening_hours_Saturday,opening_hours_Sunday,closing_days,hours_source_url,hours_acquisition_date,annual_visitors,visitor_year,visitor_source_url,visitor_acquisition_date,visitor_remarks,google_maps_reviews,google_maps_rating,tripadvisor_reviews,tripadvisor_rating,twitter_hashtags,tabelog_reviews,tabelog_rating,positive_keywords,negative_keywords,main_highlights,last_updated_date
Okinawa Attraction 16,沖縄の観光地 16,Various Locations,"Address 16, Okinawa",26.16,127.16,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,111172,2023,https://www.visitokinawa.jp/,2025-04-22,,814,4.8,571,4.4,1557,691,3.7,"不明瞭, リラックス, 残念, 豊か, 充実","不便, 暑い, 退屈, 騒がしい, 狭い",Popular Okinawa attraction known for its 不明瞭 atmosphere and リラックス unique experiences.,2025-04-22
Okinawa Attraction 17,沖縄の観光地 17,Various Locations,"Address 17, Okinawa",26.17,127.17,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,153012,2023,https://www.visitokinawa.jp/,2025-04-22,,203,3.6,830,3.9,939,350,3.6,"素晴らしい, 美しい, 最高, 楽しい, 綺麗","壊れている, 迷う, 混雑, 不快, 雨",Popular Okinawa attraction known for its 素晴らしい atmosphere and 美しい unique experiences.,2025-04-22
Okinawa Attraction 18,沖縄の観光地 18,Various Locations,"Address 18, Okinawa",26.18,127.18,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,361572,2023,https://www.visitokinawa.jp/,2025-04-22,,1539,4.3,2946,4.3,577,19,4.6,"充実, 贅沢, 古い, 満足, 素晴らしい","残念, 混雑, 高い, 不便, 騒がしい",Popular Okinawa attraction known for its 充実 atmosphere and 贅沢 unique experiences.,2025-04-22
Okinawa Attraction 19,沖縄の観光地 19,Various Locations,"Address 19, Okinawa",26.19,127.19,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,438425,2023,https://www.visitokinawa.jp/,2025-04-22,,442,3.6,1871,4.6,436,247,3.3,"のどか, 安全, 楽しい, 新鮮, 贅沢","騒がしい, 不満, 思い出, 狭い, リーズナブル",Popular Okinawa attraction known for its のどか atmosphere and 安全 unique experiences.,2025-04-22
Okinawa Attraction 20,沖縄の観光地 20,Various Locations,"Address 20, Okinawa",26.2,127.2,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,243646,2023,https://www.visitokinawa.jp/,2025-04-22,,3298,4.3,2954,4.0,197,279,4.5,"豊か, 新鮮, 眺め, サービス, 贅沢","残念, 混雑, 高い, 不便, 騒がしい",Popular Okinawa attraction known for its 豊か atmosphere and 新鮮 unique experiences.,2025-04-22
Okinawa Attraction 21,沖縄の観光地 21,Various Locations,"Address 21, Okinawa",26.21,127.21,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,459037,2023,https://www.visitokinawa.jp/,2025-04-22,,4015,4.8,1019,3.6,1976,656,3.7,"楽しい, のどか, 眺め, 美味しい, 伝統的","充実, 疲れる, 退屈, 湿気, 不足",Popular Okinawa attraction known for its 楽しい atmosphere and のどか unique experiences.,2025-04-22
Okinawa Attraction 22,沖縄の観光地 22,Various Locations,"Address 22, Okinawa",26.22,127.22,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on Wednesdays,https://www.visitokinawa.jp/,2025-04-22,135295,2023,https://www.visitokinawa.jp/,2025-04-22,,3138,4.4,573,3.8,372,656,4.3,"清潔, 満足, 不快, 景色, 感動","閉鎖, 高い, 不親切, 雨, 工事中",Popular Okinawa attraction known for its 清潔 atmosphere and 満足 unique experiences.,2025-04-22
Okinawa Attraction 23,沖縄の観光地 23,Various Locations,"Address 23, Okinawa",26.23,127.23,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,343909,2023,https://www.visitokinawa.jp/,2025-04-22,,2164,4.4,1420,3.7,577,0,0.0,"親切, 癒される, 雰囲気, 楽しい, 不快","湿気, 歴史的, 不適切, 不足, 不便",Popular Okinawa attraction known for its 親切 atmosphere and 癒される unique experiences.,2025-04-22
Okinawa Attraction 24,沖縄の観光地 24,Various Locations,"Address 24, Okinawa",26.24,127.24,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,272602,2023,https://www.visitokinawa.jp/,2025-04-22,,2612,3.9,1090,4.7,1398,0,0.0,"安全, 不親切, サービス, 魅力的, 体験","不調, 遠い, 駐車場, 不適切, 騒がしい",Popular Okinawa attraction known for its 安全 atmosphere and 不親切 unique experiences.,2025-04-22
Okinawa Attraction 25,沖縄の観光地 25,Various Locations,"Address 25, Okinawa",26.25,127.25,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Wednesdays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available,4815,4.2,1957,4.7,1242,0,0.0,"サービス, 暑い, 眺め, 綺麗, おすすめ","混雑, 不満, 雨, 駐車場, 危険",Popular Okinawa attraction known for its サービス atmosphere and 暑い unique experiences.,2025-04-22
Okinawa Attraction 26,沖縄の観光地 26,Various Locations,"Address 26, Okinawa",26.26,127.26,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,145204,2023,https://www.visitokinawa.jp/,2025-04-22,,1509,3.8,1790,4.2,1813,345,3.2,"美しい, 綺麗, 満足, サービス, 安全","観光客, 不親切, 不安, 良い, 壊れている",Popular Okinawa attraction known for its 美しい atmosphere and 綺麗 unique experiences.,2025-04-22
Okinawa Attraction 27,沖縄の観光地 27,Various Locations,"Address 27, Okinawa",26.27,127.27,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers,2981,4.4,856,4.2,1312,0,0.0,"文化的, 魅力的, 新鮮, 湿気, 暑い","工事中, 故障, 不満, 寒い, 行列",Popular Okinawa attraction known for its 文化的 atmosphere and 魅力的 unique experiences.,2025-04-22
Okinawa Attraction 28,沖縄の観光地 28,Various Locations,"Address 28, Okinawa",26.28,127.28,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,317330,2023,https://www.visitokinawa.jp/,2025-04-22,,1772,4.7,1448,3.7,290,774,4.6,"不十分, 狭い, 魅力的, 癒される, 最高","不快, 充実, 不適切, 混雑, 不足",Popular Okinawa attraction known for its 不十分 atmosphere and 狭い unique experiences.,2025-04-22
Okinawa Attraction 29,沖縄の観光地 29,Various Locations,"Address 29, Okinawa",26.29,127.29,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet",3959,3.6,2448,3.7,1861,110,4.4,"景色, 文化的, 不調, 自然, 素晴らしい","新鮮, 便利, 待ち時間, 不足, 危険",Popular Okinawa attraction known for its 景色 atmosphere and 文化的 unique experiences.,2025-04-22
Okinawa Attraction 30,沖縄の観光地 30,Various Locations,"Address 30, Okinawa",26.3,127.3,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,478657,2023,https://www.visitokinawa.jp/,2025-04-22,,2061,3.5,2344,3.7,223,179,3.9,"素晴らしい, 美しい, 最高, 楽しい, 綺麗","素晴らしい, 騒がしい, 期待外れ, 面倒, 湿気",Popular Okinawa attraction known for its 素晴らしい atmosphere and 美しい unique experiences.,2025-04-22
Okinawa Attraction 31,沖縄の観光地 31,Various Locations,"Address 31, Okinawa",26.31,127.31,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers,877,4.8,1569,3.8,1564,504,3.5,"感動, 快適, 眺め, 雰囲気, 優れた","交通, 寒い, 退屈, 疲れる, 悪い",Popular Okinawa attraction known for its 感動 atmosphere and 快適 unique experiences.,2025-04-22
Okinawa Attraction 32,沖縄の観光地 32,Various Locations,"Address 32, Okinawa",26.32,127.32,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on Thursdays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published,3929,4.6,555,4.2,265,0,0.0,"充実, 豊か, 体験, サービス, 景色","不足, 分かりにくい, 遠い, 観光客, 不明瞭",Popular Okinawa attraction known for its 充実 atmosphere and 豊か unique experiences.,2025-04-22
Okinawa Attraction 33,沖縄の観光地 33,Various Locations,"Address 33, Okinawa",26.33,127.33,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Information restricted for conservation reasons,4930,4.7,756,4.8,1273,0,0.0,"体験, 眺め, 充実, 虫, 壊れている","混雑, 工事中, 遠い, 汚い, 退屈",Popular Okinawa attraction known for its 体験 atmosphere and 眺め unique experiences.,2025-04-22
Okinawa Attraction 34,沖縄の観光地 34,Various Locations,"Address 34, Okinawa",26.34,127.34,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,445617,2023,https://www.visitokinawa.jp/,2025-04-22,,2548,4.3,2699,3.9,1092,0,0.0,"贅沢, リラックス, 雨, 綺麗, 美味しい","行列, 伝統的, 分かりにくい, 不足, サービス",Popular Okinawa attraction known for its 贅沢 atmosphere and リラックス unique experiences.,2025-04-22
