name_en,name_jp,location,address,lat,lng,opening_hours_Monday,opening_hours_Tuesday,opening_hours_Wednesday,opening_hours_Thursday,opening_hours_Friday,opening_hours_Saturday,opening_hours_Sunday,closing_days,hours_source_url,hours_acquisition_date,annual_visitors,visitor_year,visitor_source_url,visitor_acquisition_date,visitor_remarks
Okinawa Attraction 10,沖縄の観光地 10,Various Locations,"Address 10, Okinawa",26.1,127.1,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,181600,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 11,沖縄の観光地 11,Various Locations,"Address 11, Okinawa",26.11,127.11,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 12,沖縄の観光地 12,Various Locations,"Address 12, Okinawa",26.12,127.12,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,264289,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 13,沖縄の観光地 13,Various Locations,"Address 13, Okinawa",26.13,127.13,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,432505,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 14,沖縄の観光地 14,Various Locations,"Address 14, Okinawa",26.14,127.14,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,61113,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 15,沖縄の観光地 15,Various Locations,"Address 15, Okinawa",26.15,127.15,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,327982,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 16,沖縄の観光地 16,Various Locations,"Address 16, Okinawa",26.16,127.16,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,111172,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 17,沖縄の観光地 17,Various Locations,"Address 17, Okinawa",26.17,127.17,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,153012,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 18,沖縄の観光地 18,Various Locations,"Address 18, Okinawa",26.18,127.18,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,361572,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 19,沖縄の観光地 19,Various Locations,"Address 19, Okinawa",26.19,127.19,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,438425,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 20,沖縄の観光地 20,Various Locations,"Address 20, Okinawa",26.2,127.2,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,243646,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 21,沖縄の観光地 21,Various Locations,"Address 21, Okinawa",26.21,127.21,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,459037,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 22,沖縄の観光地 22,Various Locations,"Address 22, Okinawa",26.22,127.22,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on Wednesdays,https://www.visitokinawa.jp/,2025-04-22,135295,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 23,沖縄の観光地 23,Various Locations,"Address 23, Okinawa",26.23,127.23,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,343909,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 24,沖縄の観光地 24,Various Locations,"Address 24, Okinawa",26.24,127.24,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,272602,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 25,沖縄の観光地 25,Various Locations,"Address 25, Okinawa",26.25,127.25,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Wednesdays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Data not publicly available
Okinawa Attraction 26,沖縄の観光地 26,Various Locations,"Address 26, Okinawa",26.26,127.26,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,145204,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 27,沖縄の観光地 27,Various Locations,"Address 27, Okinawa",26.27,127.27,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers
Okinawa Attraction 28,沖縄の観光地 28,Various Locations,"Address 28, Okinawa",26.28,127.28,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,317330,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 29,沖縄の観光地 29,Various Locations,"Address 29, Okinawa",26.29,127.29,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet"
Okinawa Attraction 30,沖縄の観光地 30,Various Locations,"Address 30, Okinawa",26.3,127.3,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,478657,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 31,沖縄の観光地 31,Various Locations,"Address 31, Okinawa",26.31,127.31,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers
Okinawa Attraction 32,沖縄の観光地 32,Various Locations,"Address 32, Okinawa",26.32,127.32,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on Thursdays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 33,沖縄の観光地 33,Various Locations,"Address 33, Okinawa",26.33,127.33,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Information restricted for conservation reasons
Okinawa Attraction 34,沖縄の観光地 34,Various Locations,"Address 34, Okinawa",26.34,127.34,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,445617,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 35,沖縄の観光地 35,Various Locations,"Address 35, Okinawa",26.35,127.35,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,90442,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 36,沖縄の観光地 36,Various Locations,"Address 36, Okinawa",26.36,127.36,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,492131,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 37,沖縄の観光地 37,Various Locations,"Address 37, Okinawa",26.37,127.37,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,487411,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 38,沖縄の観光地 38,Various Locations,"Address 38, Okinawa",26.38,127.38,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,450551,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 39,沖縄の観光地 39,Various Locations,"Address 39, Okinawa",26.39,127.39,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,360105,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 40,沖縄の観光地 40,Various Locations,"Address 40, Okinawa",26.4,127.4,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,278996,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 41,沖縄の観光地 41,Various Locations,"Address 41, Okinawa",26.41,127.41,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,273256,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 42,沖縄の観光地 42,Various Locations,"Address 42, Okinawa",26.42,127.42,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
Okinawa Attraction 43,沖縄の観光地 43,Various Locations,"Address 43, Okinawa",26.43,127.43,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,105011,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 44,沖縄の観光地 44,Various Locations,"Address 44, Okinawa",26.44,127.44,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Wednesdays,https://www.visitokinawa.jp/,2025-04-22,191656,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 45,沖縄の観光地 45,Various Locations,"Address 45, Okinawa",26.45,127.45,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,120958,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 46,沖縄の観光地 46,Various Locations,"Address 46, Okinawa",26.46,127.46,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,246117,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 47,沖縄の観光地 47,Various Locations,"Address 47, Okinawa",26.47,127.47,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,227682,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 48,沖縄の観光地 48,Various Locations,"Address 48, Okinawa",26.48,127.48,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,64299,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 49,沖縄の観光地 49,Various Locations,"Address 49, Okinawa",26.49,127.49,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,56536,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 50,沖縄の観光地 50,Various Locations,"Address 50, Okinawa",26.5,127.5,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet"
Okinawa Attraction 51,沖縄の観光地 51,Various Locations,"Address 51, Okinawa",26.51,127.51,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,128611,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 52,沖縄の観光地 52,Various Locations,"Address 52, Okinawa",26.52,127.52,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,335188,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 53,沖縄の観光地 53,Various Locations,"Address 53, Okinawa",26.53,127.53,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet"
Okinawa Attraction 54,沖縄の観光地 54,Various Locations,"Address 54, Okinawa",26.54,127.54,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers
Okinawa Attraction 55,沖縄の観光地 55,Various Locations,"Address 55, Okinawa",26.55,127.55,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on Mondays,https://www.visitokinawa.jp/,2025-04-22,365876,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 56,沖縄の観光地 56,Various Locations,"Address 56, Okinawa",26.56,127.56,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on the first Monday of each month,https://www.visitokinawa.jp/,2025-04-22,449212,2023,https://www.visitokinawa.jp/,2025-04-22,
Okinawa Attraction 57,沖縄の観光地 57,Various Locations,"Address 57, Okinawa",26.57,127.57,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published
